Type,Age,BreedPurity,Gender,ColorPurity,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed
Dog,36,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,5,0,Selangor,0,1,Not Adopted
Dog,1,Mixed,Female,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Dog,2,Mixed,Male,Mixed,Small,Short,Yes,Not Sure,No,Healthy,1,0,Kuala Lumpur,0,5,Fast
Dog,2,Pure,Male,Mixed,Small,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,1,Mixed,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,9,100,Pahang,0,5,Average
Dog,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Johor,0,1,Instant
Dog,2,Pure,Female,Pure,Large,Short,Yes,Yes,No,Healthy,2,0,Selangor,1,3,Not Adopted
Dog,12,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Slow
Dog,2,Mixed,Male,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Fast
Dog,1,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Dog,2,Pure,Female,Mixed,Medium,Short,Yes,No,No,Healthy,1,0,Pulau Pinang,0,1,Not Adopted
Dog,3,Pure,Male,Mixed,Small,Long,Yes,Yes,Not Sure,Healthy,1,750,Selangor,0,2,Fast
Dog,3,Pure,Male,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Kedah,0,1,Average
Dog,3,Mixed,Male,Pure,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,3,Slow
Cat,6,Pure,Female,Mixed,Medium,Medium,No,Yes,No,Healthy,1,50,Selangor,0,4,Slow
Dog,1,Pure,Female,Mixed,Medium,Medium,No,No,No,Healthy,2,0,Selangor,0,3,Average
Cat,47,Mixed,Female,Mixed,Medium,Long,No,No,No,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,2,Mixed,Male,Mixed,Large,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,4,Average
Dog,12,Pure,Female,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Perak,3,11,Slow
Dog,2,Mixed,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,4,18,Slow
Dog,1,Pure,Male,Pure,Medium,Short,No,No,No,Healthy,1,0,Perak,0,5,Slow
Cat,1,Mixed,Mixed,Mixed,Small,Medium,No,No,No,Healthy,2,0,Selangor,0,3,Not Adopted
Dog,1,Mixed,Mixed,Mixed,Medium,Short,No,No,No,Healthy,5,0,Selangor,0,0,Not Adopted
Cat,24,Pure,Male,Pure,Large,Short,No,No,No,Minor Injury,1,0,Melaka,0,12,Slow
Cat,24,Pure,Female,Mixed,Medium,Short,No,No,Yes,Healthy,1,0,Selangor,0,1,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Pulau Pinang,0,2,Slow
Cat,19,Pure,Female,Mixed,Large,Long,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,3,Fast
Dog,4,Mixed,Female,Pure,Small,Long,Not Sure,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,3,Slow
Dog,24,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Johor,0,3,Slow
Cat,3,Pure,Male,Mixed,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,1,Fast
Cat,1,Pure,Mixed,Mixed,Small,Medium,No,No,No,Healthy,2,0,Kuala Lumpur,0,1,Average
Dog,24,Mixed,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,0,2,Average
Dog,60,Pure,Male,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Dog,1,Mixed,Female,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Slow
Cat,3,Pure,Female,Mixed,Small,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,7,Fast
Cat,2,Pure,Male,Pure,Small,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,0,2,Average
Cat,1,Mixed,Mixed,Mixed,Medium,Short,Yes,Yes,No,Healthy,2,1,Kuala Lumpur,0,3,Instant
Dog,2,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,2,Slow
Cat,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,0,2,Fast
Dog,3,Pure,Female,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,4,Not Adopted
Dog,2,Mixed,Female,Mixed,Large,Short,No,No,No,Healthy,6,0,Pulau Pinang,0,5,Slow
Cat,12,Pure,Female,Mixed,Medium,Medium,Yes,No,Yes,Healthy,2,0,Melaka,0,1,Not Adopted
Cat,4,Mixed,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,5,Average
Dog,120,Pure,Male,Mixed,Large,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Dog,3,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,4,Not Adopted
Cat,1,Pure,Mixed,Mixed,Small,Medium,No,No,No,Healthy,4,0,Selangor,0,2,Not Adopted
Dog,36,Pure,Female,Mixed,Large,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,4,Fast
Cat,3,Pure,Female,Mixed,Small,Short,No,Yes,No,Healthy,1,0,Selangor,0,3,Not Adopted
Cat,60,Pure,Male,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,0,Not Adopted
Cat,1,Pure,Female,Mixed,Medium,Short,No,Yes,Not Sure,Healthy,1,0,Selangor,0,4,Fast
Dog,3,Pure,Mixed,Mixed,Medium,Medium,Yes,Yes,No,Healthy,3,150,Selangor,0,3,Fast
Dog,36,Pure,Male,Mixed,Large,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,4,Average
Dog,12,Pure,Male,Mixed,Medium,Medium,Yes,No,No,Healthy,1,400,Negeri Sembilan,0,1,Average
Cat,1,Pure,Mixed,Mixed,Small,Short,No,Not Sure,No,Healthy,4,0,Kuala Lumpur,0,3,Slow
Dog,0,Mixed,Mixed,Mixed,Large,Short,Not Sure,Not Sure,Not Sure,Healthy,2,0,Selangor,0,4,Fast
Cat,1,Pure,Male,Mixed,Small,Medium,No,No,No,Healthy,1,0,Selangor,1,1,Average
Dog,5,Mixed,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,6,Slow
Dog,24,Mixed,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,0,3,Slow
Dog,3,Pure,Male,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Fast
Dog,3,Pure,Female,Pure,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,3,0,Negeri Sembilan,0,1,Not Adopted
Dog,4,Pure,Female,Pure,Medium,Short,No,Yes,No,Healthy,1,0,Pahang,0,5,Not Adopted
Cat,3,Pure,Mixed,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,2,0,Selangor,0,3,Fast
Cat,1,Pure,Female,Mixed,Small,Medium,No,No,No,Healthy,5,0,Negeri Sembilan,0,3,Average
Cat,8,Mixed,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,50,Selangor,0,8,Average
Cat,2,Mixed,Mixed,Mixed,Medium,Short,No,No,No,Healthy,2,0,Negeri Sembilan,0,2,Not Adopted
Dog,32,Mixed,Mixed,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Selangor,0,5,Not Adopted
Dog,3,Mixed,Mixed,Mixed,Large,Short,Yes,Yes,No,Healthy,3,0,Selangor,0,4,Average
Cat,12,Pure,Male,Pure,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,1,Slow
Dog,4,Mixed,Female,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,10,Slow
Dog,2,Pure,Male,Mixed,Medium,Short,No,Not Sure,No,Healthy,1,0,Selangor,0,3,Average
Cat,7,Mixed,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,7,Average
Cat,5,Pure,Male,Pure,Medium,Long,No,Yes,No,Healthy,1,100,Kuala Lumpur,0,5,Slow
Cat,2,Pure,Female,Mixed,Medium,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,0,4,Average
Dog,60,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,2,Slow
Cat,4,Mixed,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,5,0,Kuala Lumpur,0,5,Average
Dog,120,Mixed,Male,Pure,Medium,Short,Yes,Yes,No,Healthy,2,0,Selangor,0,1,Fast
Dog,12,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Average
Cat,17,Pure,Female,Mixed,Small,Short,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,0,3,Slow
Cat,2,Pure,Mixed,Mixed,Medium,Short,No,No,No,Healthy,2,0,Kuala Lumpur,0,2,Average
Dog,48,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Average
Dog,4,Pure,Female,Mixed,Medium,Short,Yes,No,No,Healthy,1,0,Negeri Sembilan,0,2,Slow
Cat,12,Pure,Female,Mixed,Medium,Medium,Not Sure,Yes,Yes,Healthy,1,0,Selangor,0,2,Slow
Cat,12,Mixed,Male,Mixed,Large,Long,No,Yes,No,Healthy,1,0,Selangor,0,2,Fast
Cat,3,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,1,3,Average
Dog,1,Pure,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,3,0,Selangor,0,11,Not Adopted
Dog,36,Pure,Female,Mixed,Large,Medium,Not Sure,Not Sure,Not Sure,Minor Injury,1,0,Kuala Lumpur,0,4,Slow
Dog,12,Pure,Female,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,1,1,Not Adopted
Dog,2,Pure,Female,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,80,Pulau Pinang,0,1,Not Adopted
Dog,36,Pure,Male,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Perak,0,1,Average
Cat,1,Pure,Mixed,Mixed,Medium,Medium,No,No,No,Healthy,3,0,Kuala Lumpur,0,13,Average
Cat,1,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,3,Fast
Dog,0,Pure,Female,Mixed,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,5,0,Kuala Lumpur,0,5,Fast
Dog,2,Pure,Female,Pure,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,4,Fast
Dog,2,Pure,Mixed,Mixed,Medium,Short,Yes,Yes,No,Healthy,3,30,Selangor,0,3,Slow
Dog,2,Mixed,Mixed,Pure,Medium,Medium,No,No,No,Healthy,3,0,Selangor,0,5,Not Adopted
Cat,36,Pure,Mixed,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,5,0,Selangor,0,0,Not Adopted
Dog,3,Pure,Mixed,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,5,0,Pulau Pinang,0,1,Not Adopted
Dog,2,Pure,Female,Mixed,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,4,Slow
Dog,1,Pure,Female,Mixed,Large,Short,Not Sure,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,0,2,Average
Cat,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,3,Average
Cat,2,Mixed,Male,Mixed,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,1,Instant
Dog,2,Pure,Female,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,80,Selangor,0,9,Average
Cat,3,Pure,Male,Pure,Medium,Short,Not Sure,Yes,No,Healthy,1,0,Kuala Lumpur,0,3,Not Adopted
Dog,17,Pure,Male,Pure,Medium,Medium,Yes,Yes,Yes,Healthy,1,150,Kuala Lumpur,0,1,Not Adopted
Dog,2,Pure,Mixed,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,8,0,Kuala Lumpur,0,5,Slow
Cat,48,Pure,Male,Mixed,Large,Short,Yes,Yes,No,Healthy,1,20,Selangor,0,4,Average
Cat,1,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,1,Average
Cat,5,Mixed,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,150,Selangor,0,4,Average
Dog,8,Mixed,Male,Mixed,Medium,Short,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,0,3,Average
Dog,4,Mixed,Female,Pure,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,2,Not Adopted
Dog,3,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,3,Slow
Cat,72,Pure,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,10,Not Adopted
Cat,12,Mixed,Female,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,5,0,Kedah,0,4,Not Adopted
Dog,12,Pure,Female,Mixed,Medium,Medium,No,Yes,No,Healthy,1,0,Pulau Pinang,0,2,Not Adopted
Cat,12,Mixed,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Kuala Lumpur,0,2,Not Adopted
Dog,22,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,0,Slow
Dog,36,Pure,Male,Pure,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,3,Not Adopted
Dog,2,Pure,Male,Pure,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,1,Slow
Cat,4,Pure,Female,Mixed,Medium,Short,Not Sure,Not Sure,Yes,Healthy,5,0,Johor,0,1,Not Adopted
Dog,12,Pure,Female,Pure,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Dog,7,Pure,Male,Mixed,Small,Short,No,No,No,Healthy,1,50,Selangor,1,1,Not Adopted
Dog,2,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,4,Fast
Dog,3,Pure,Female,Mixed,Small,Short,No,Yes,Not Sure,Healthy,3,0,Selangor,0,2,Not Adopted
Dog,24,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,24,Not Adopted
Dog,1,Pure,Female,Pure,Medium,Long,No,No,No,Healthy,1,0,Selangor,0,3,Fast
Dog,1,Pure,Female,Pure,Medium,Short,No,No,No,Healthy,1,0,Negeri Sembilan,0,1,Average
Dog,3,Pure,Male,Pure,Large,Short,Yes,Yes,No,Healthy,2,0,Selangor,0,9,Average
Cat,5,Pure,Male,Mixed,Small,Short,Yes,No,Not Sure,Healthy,1,0,Kuala Lumpur,0,4,Not Adopted
Dog,16,Mixed,Female,Mixed,Small,Short,Yes,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,0,3,Fast
Cat,2,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,5,Average
Cat,2,Pure,Male,Pure,Small,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Pulau Pinang,0,6,Not Adopted
Dog,7,Mixed,Male,Pure,Medium,Short,Yes,Yes,Not Sure,Healthy,1,0,Selangor,0,8,Fast
Cat,13,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,5,Not Adopted
Dog,3,Pure,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,3,Slow
Dog,12,Pure,Male,Mixed,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,0,1,Not Adopted
Cat,3,Pure,Male,Mixed,Small,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,0,9,Average
Dog,2,Mixed,Female,Mixed,Medium,Medium,No,No,No,Healthy,1,0,Selangor,0,1,Not Adopted
Cat,10,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,8,Slow
Dog,2,Pure,Female,Mixed,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,0,5,Fast
Dog,2,Pure,Male,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,2,Slow
Cat,4,Pure,Female,Mixed,Large,Short,No,No,No,Healthy,1,0,Kuala Lumpur,0,8,Fast
Dog,60,Mixed,Male,Mixed,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,0,5,Slow
Cat,2,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,6,30,Selangor,0,6,Not Adopted
Cat,12,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,2,Not Adopted
Cat,2,Mixed,Female,Mixed,Small,Short,No,No,No,Healthy,1,0,Selangor,0,5,Fast
Cat,0,Mixed,Mixed,Mixed,Medium,Short,No,No,No,Minor Injury,3,0,Selangor,0,1,Fast
Dog,2,Mixed,Mixed,Mixed,Large,Short,Yes,Yes,No,Healthy,3,0,Selangor,1,8,Slow
Cat,6,Pure,Female,Mixed,Medium,Short,No,Yes,Yes,Healthy,1,0,Selangor,0,5,Not Adopted
Dog,3,Pure,Female,Mixed,Large,Short,Not Sure,Not Sure,No,Healthy,1,0,Selangor,0,2,Average
Dog,1,Pure,Female,Pure,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,0,4,Fast
Dog,2,Pure,Female,Mixed,Small,Short,No,No,No,Healthy,4,0,Pulau Pinang,0,5,Fast
Cat,3,Pure,Male,Mixed,Medium,Medium,No,No,No,Healthy,1,50,Selangor,0,3,Fast
Dog,19,Pure,Female,Pure,Medium,Short,Yes,Yes,Yes,Healthy,1,80,Selangor,0,3,Not Adopted
Cat,11,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,50,Selangor,0,5,Not Adopted
Dog,37,Pure,Female,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,5,Not Adopted
Cat,4,Mixed,Female,Mixed,Small,Long,No,No,Not Sure,Healthy,1,250,Selangor,0,3,Average
Dog,3,Mixed,Male,Pure,Medium,Short,No,Yes,Yes,Healthy,1,0,Kuala Lumpur,0,6,Fast
Dog,6,Pure,Male,Mixed,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,0,1,Slow
Cat,1,Pure,Female,Mixed,Medium,Short,No,No,No,Healthy,1,0,Selangor,0,7,Average
Dog,5,Pure,Male,Mixed,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,0,0,Not Adopted
Dog,1,Pure,Mixed,Pure,Medium,Short,No,No,No,Healthy,6,0,Selangor,0,5,Slow
